game_id,season,week,home_team,away_team,p_home_model,p_away_model,home_prob_pct,away_prob_pct,winner_pred,confidence,pred_home_score,pred_away_score,pred_margin,pred_total,consistency_flag
2025_03_KC_NYG,2025,3,NYG,KC,0.111799575,0.8882004,11.2,88.8,KC,0.77640086,21.4,23.1,-2.8,44.5,
2025_03_DEN_LAC,2025,3,LAC,DEN,0.8749977,0.12500232,87.5,12.5,LAC,0.74999535,24.2,25.4,-0.1,49.7,DISAGREE
2025_03_MIA_BUF,2025,3,BUF,MIA,0.8734704,0.12652957,87.3,12.7,BUF,0.74694085,22.2,22.3,1.1,44.4,
2025_03_LA_PHI,2025,3,PHI,LAR,0.86518216,0.13481784,86.5,13.5,PHI,0.7303643,22.4,23.5,-0.0,46.0,DISAGREE
2025_03_CIN_MIN,2025,3,MIN,CIN,0.8647056,0.13529438,86.5,13.5,MIN,0.72941124,24.1,25.5,-0.3,49.6,DISAGREE
2025_03_NO_SEA,2025,3,SEA,NO,0.86296374,0.13703626,86.3,13.7,SEA,0.7259275,21.9,23.4,-0.4,45.3,DISAGREE
2025_03_PIT_NE,2025,3,NE,PIT,0.13932425,0.86067575,13.9,86.1,PIT,0.7213515,21.9,23.2,-2.5,45.1,
2025_03_LV_WAS,2025,3,WAS,LV,0.8580377,0.14196229,85.8,14.2,WAS,0.7160754,23.2,24.2,0.1,47.4,
2025_03_NYJ_TB,2025,3,TB,NYJ,0.16035624,0.8396438,16.0,84.0,NYJ,0.67928755,21.7,23.6,-2.9,45.3,
2025_03_GB_CLE,2025,3,CLE,GB,0.18728545,0.8127146,18.7,81.3,GB,0.6254291,21.4,23.5,-3.0,44.9,
2025_03_DET_BAL,2025,3,BAL,DET,0.73865896,0.26134104,73.9,26.1,BAL,0.47731793,21.4,23.5,-1.4,44.8,DISAGREE
2025_03_DAL_CHI,2025,3,CHI,DAL,0.7187915,0.28120852,71.9,28.1,CHI,0.43758297,21.9,23.8,-1.2,45.7,DISAGREE
2025_03_ARI_SF,2025,3,SF,ARI,0.672176,0.327824,67.2,32.8,SF,0.344352,21.8,23.5,-1.2,45.4,DISAGREE
2025_03_HOU_JAX,2025,3,JAX,HOU,0.35373342,0.6462666,35.4,64.6,HOU,0.29253316,22.0,23.9,-2.4,45.9,
2025_03_ATL_CAR,2025,3,CAR,ATL,0.6021423,0.39785773,60.2,39.8,CAR,0.20428455,21.6,23.6,-1.7,45.2,
2025_03_IND_TEN,2025,3,TEN,IND,0.4976153,0.50238466,49.8,50.2,IND,0.004769385,21.8,23.5,-1.7,45.4,
